path,act.lumi(fb-1),eff.lumi(fb-1),first_run,last_run,menu_version,dataset,year
HLT_QuadJet45_DoubleBTagCSV_p087_v,35.89455120366069,1.2448128674576482,272760,284044,,BTagCSV,2016
HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq200_v,24.885970005698287,24.885970005698287,272760,284044,,BTagCSV,2016
HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v,24.885970005698287,24.885970005698287,272760,284044,,BTagCSV,2016
HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v,24.885970005698287,24.885970005698287,272760,284044,,BTagCSV,2016
HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq240_v,35.89455120366069,35.89455120366069,272760,284044,,BTagCSV,2016
HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq240_v,35.89455120366069,35.89455120366069,272760,284044,,BTagCSV,2016
HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq500_v,35.89455120366069,35.89455120366069,272760,284044,,BTagCSV,2016
HLT_QuadJet45_TripleBTagCSV_p087_v,35.89455120366069,35.89455120366069,272760,284044,,BTagCSV,2016
HLT_DoubleJet90_Double30_TripleBTagCSV_p087_v,35.89455120366069,35.89455120366069,272760,284044,,BTagCSV,2016
HLT_DoubleJet90_Double30_DoubleBTagCSV_p087_v,35.89455120366069,0.9946061278267271,272760,284044,,BTagCSV,2016
HLT_DoubleJetsC100_DoubleBTagCSV_p026_DoublePFJetsC160_v,35.700401818779696,35.700401818779696,272760,284044,,BTagCSV,2016
HLT_DoubleJetsC100_DoubleBTagCSV_p014_DoublePFJetsC100MaxDeta1p6_v,35.700401818779696,35.700401818779696,272760,284044,,BTagCSV,2016
HLT_DoubleJetsC112_DoubleBTagCSV_p026_DoublePFJetsC172_v,35.89455120366069,35.89455120366069,272760,284044,,BTagCSV,2016
HLT_Rsq0p02_MR450_TriPFJet80_60_40_DoubleBTagCSV_p063_Mbb60_200_v,14.73666848053387,14.73666848053387,278273,284044,,BTagCSV,2016
HLT_DoubleJetsC112_DoubleBTagCSV_p014_DoublePFJetsC112MaxDeta1p6_v,35.89455120366069,35.89455120366069,272760,284044,,BTagCSV,2016
HLT_DoubleJetsC100_SingleBTagCSV_p026_v,35.700401818779696,0.8648318809169863,272760,284044,,BTagCSV,2016
HLT_Rsq0p02_MR400_TriPFJet80_60_40_DoubleBTagCSV_p063_Mbb60_200_v,14.73666848053387,14.73666848053387,278273,284044,,BTagCSV,2016
HLT_DoubleJetsC100_SingleBTagCSV_p026_SinglePFJetC350_v,35.700401818779696,18.771301860722595,272760,284044,,BTagCSV,2016
HLT_Rsq0p02_MR550_TriPFJet80_60_40_DoubleBTagCSV_p063_Mbb60_200_v,8.711033478394866,8.711033478394866,281613,284044,,BTagCSV,2016
HLT_Rsq0p02_MR500_TriPFJet80_60_40_DoubleBTagCSV_p063_Mbb60_200_v,7.038237928890834,7.038237928890834,281613,284044,,BTagCSV,2016
HLT_DoubleJetsC100_SingleBTagCSV_p014_v,35.700401818779696,0.881060905317417,272760,284044,,BTagCSV,2016
HLT_Rsq0p02_MR300_TriPFJet80_60_40_DoubleBTagCSV_p063_Mbb60_200_v,17.48912994645474,17.48912994645474,272760,278240,,BTagCSV,2016
HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq200_v,24.885970005698287,24.885970005698287,272760,284044,,BTagCSV,2016
HLT_DoubleJetsC100_SingleBTagCSV_p014_SinglePFJetC350_v,35.700401818779696,19.965597672288226,272760,284044,,BTagCSV,2016
HLT_Rsq0p02_MR300_TriPFJet80_60_40_BTagCSV_p063_p20_Mbb60_200_v,4.010870156913902,4.010870156913902,272760,278240,,BTagCSV,2016
HLT_BTagMu_DiJet70_Mu5_v,35.89455120366069,0.9356849345404669,272760,284044,,BTagMu,2016
HLT_BTagMu_AK8Jet300_Mu5_v,28.176582645069534,28.176582645069534,276282,284044,,BTagMu,2016
HLT_BTagMu_Jet300_Mu5_v,35.89455120366069,35.89455120366069,272760,284044,,BTagMu,2016
HLT_BTagMu_DiJet110_Mu5_v,35.89455120366069,3.934538262089038,272760,284044,,BTagMu,2016
HLT_BTagMu_DiJet40_Mu5_v,35.89455120366069,0.2333239922322517,272760,284044,,BTagMu,2016
HLT_BTagMu_DiJet20_Mu5_v,35.89455120366069,0.08059938368226402,272760,284044,,BTagMu,2016
